nom_groupe,abreviation,legislature,effectif
Droite Républicaine,DR,17,49
Écologiste et Social,ECOS,17,38
Ensemble pour la République,EPR,17,91
Gauche Démocrate et Républicaine,GDR,17,17
Horizons & Indépendants,HOR,17,34
La France insoumise - Nouveau Front Populaire,LFI-NFP,17,71
Les Démocrates,DEM,17,36
"Libertés, Indépendants, Outre-mer et Territoires",LIOT,17,22
Non inscrit,NI,17,12
Rassemblement National,RN,17,122
Socialistes et apparentés,SOC,17,69
Union des droites pour la République,UDDPLR,17,17